"WhaleID","SurveyYear","TL","Type","Age","Sex","BirthYear","Births","BY","Phase","MomEntang","MidGear"
"1507",2016,13.0144263,"GPS",31.24863388,"M",1985,0,5,2,0,0
"1703",2016,14.19274142,"GPS",29.21038251,"F",1987,0,7,2,0,0
"1971",2016,11.87892857,"GPS",27.2295082,"M",1989,0,9,2,0,178.5
"2740",2016,12.70757538,"GPS",19.2295082,"M",1997,0,17,2,0,0
"3142",2016,13.10853137,"GPS",15.22131148,"F",2001,1,21,2,0,0
"3150",2016,12.45811346,"GPS",15.2568306,"M",2001,0,21,2,0,0
"3333",2016,12.85099729,"GPS",13.21038251,"M",2003,0,23,2,0,119
"3466",2016,12.58919617,"GPS",12.21038251,"M",2004,0,24,2,0,0
"3520",2016,13.20730665,"GPS",11.21038251,"F",2005,1,25,2,0,0
"3530",2016,12.82381156,"GPS",12.21038251,"M",2004,0,24,2,0,0
"3620",2016,11.80759895,"GPS",10.2295082,"M",2006,0,26,2,0,0
"3705",2016,12.4252806,"GPS",9.221311475,"F",2007,0,27,2,0,0
"3860",2016,12.32467781,"GPS",8.24863388,"F",2008,0,28,2,0,0
"3990",2016,12.46227603,"GPS",7.221311475,"M",2009,0,29,2,0,0
"4057",2016,10.74564608,"GPS",6.229508197,"M",2010,0,30,2,0,222
"4130",2016,9.222481648,"GPS",5.221311475,"M",2011,0,31,2,0,0
"4140",2016,9.627322412,"GPS",5.221311475,"M",2011,0,31,2,0,0
"2014CalfOf1425?",2016,9.666840047,"GPS",2.229508197,"U",2014,0,34,2,0,0
"2016CalfOf3860",2016,6.971535299,"GPS",0.24863388,"U",2016,0,36,1,0,0
"1427",2017,13.19242189,"Laser",33.23287671,"M",1984,0,4,2,0,0
"1613",2017,13.20662967,"Laser",31.20547945,"M",1986,0,6,2,0,0
"1703",2017,13.28219006,"Laser",30.20547945,"F",1987,0,7,2,0,0
"1801",2017,13.74866816,"Laser",29.20547945,"M",1988,0,8,2,0,0
"1802",2017,14.1640427,"Laser",29.20547945,"F",1988,0,8,2,0,0
"1971",2017,13.17738081,"Laser",28.23287671,"M",1989,0,9,2,0,178.5
"2029",2017,14.33597778,"Laser",27.20547945,"F",1990,0,10,2,0,0
"2209",2017,13.81181509,"Laser",25.23287671,"M",1992,0,12,2,0,0
"2215",2017,12.39333315,"Laser",25.20547945,"M",1992,0,12,2,0,0
"2681",2017,14.35130923,"Laser",21.21643836,"M",1996,0,16,2,0,0
"3142",2017,12.64045119,"Laser",16.23287671,"F",2001,1,21,2,0,0
"3296",2017,12.30837,"Laser",15.20547945,"M",2002,0,22,2,1,0
"3308",2017,13.08340613,"Laser",14.23287671,"F",2003,0,23,2,1,0
"3312",2017,13.02927028,"Laser",14.20547945,"M",2003,0,23,2,0,0
"3351",2017,12.91548509,"Laser",14.23287671,"M",2003,0,23,2,0,0
"3540",2017,12.23920808,"Laser",12.23287671,"F",2005,1,25,2,0,0
"3550",2017,12.09610256,"Laser",12.23287671,"M",2005,0,25,2,0,0
"3617",2017,10.51389418,"Laser",11.22465753,"M",2006,0,26,2,0,0
"3651",2017,12.72523882,"Laser",11.20547945,"M",2006,0,26,2,0,0
"3740",2017,12.25181457,"Laser",10.22465753,"M",2007,0,27,2,0,0
"3823",2017,12.23107822,"Laser",9.224657534,"F",2008,0,28,2,0,95
